"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1553","motorcycle",4,100,0.329250017866197,0.475114219644443,0.205145356715643,0.340848355765741,0.491609523939201,0.203234814685578,0.510305733157115,0.49817915251469,0.501676941975981,0.199141775952523
"1554","auto",4,100,0.562686978559343,0.67096706617658,0.493018049570543,0.57281635356403,0.68291930178697,0.497009161293554,0.792274133133327,0.817370649782579,0.912731760387016,0.491174101686266
"1555","hp",4,100,0.230254810132919,0.299191566924705,0.181212734805706,0.248825702824218,0.316191514887827,0.185048630759825,0.323978604113018,0.332165025896158,0.244340511919215,0.26522830390613
"1556","jewelry",4,100,0.0776847743000769,0.114152090177953,0.0506880426976681,0.0779793027845716,0.119308129379086,0.0490967350480165,0.100840062740188,0.0902188839042674,0.114898145911324,-0.0547758175670093
"1557","chicken",4,100,-0.045856438122242,-0.136439813988567,0.0549885360721957,-0.0402312662292099,-0.129809319376515,0.0557067185353146,-0.160439448317695,-0.16613728665088,-0.141598899930543,0.120650777671882
"1558","cow",4,100,0.0885689768753575,0.244452795730941,-0.0524184685358347,0.0926705040195326,0.237328991785032,-0.0478027754987911,0.334381754783892,0.337633243257919,0.211700909199484,0.00471246029633303
"1559","credit",4,100,-0.0152190296617113,-0.054578547415198,0.0222483530234793,-0.0174076462856282,-0.0478778429171663,0.0241783446567578,-0.0562456278542296,-0.0740936412324945,-0.106849865083649,0.00356165347650275
"1560","hhsector1",4,100,0.0468538189945,0.0498336770003564,0.0426793698637283,-0.00199850762212636,0.014465066987085,-0.00631618930690453,0.195821018212691,0.114995621719887,-0.0824172264229358,-0.123783439513242
"1561","hhsector2",4,100,-0.114736338795829,-0.206753264405883,-0.0277736872642702,-0.178402116484184,-0.281701844661742,-0.078522494561223,-0.133604575695029,-0.201620230446407,-0.363761951724699,-0.254882442612418
"1562","hhsector3",4,100,0.0935390391391786,0.121455095389496,0.0678556839563687,0.0293769065727179,0.0518093512861937,0.0158406321949887,0.245459132118889,0.183848865627227,-0.0466411459363036,-0.133772067662285
"1563","formal",4,100,0.00034616904090859,-0.0680645538841568,0.077269183066682,0.0799563693708721,0.0166838794280787,0.140994511947436,-0.395460771965308,-0.381590348624637,0.474257670522904,0.0710237006154145
"1564","informal",4,100,-0.0840628072801727,-0.123083761001908,-0.0502457950418236,-0.0143023333656558,-0.0427325206359301,0.0117554473190826,-0.441600257681561,-0.427119362497678,0.401900756988852,-0.150140228903669
"1565","hhsize",5,100,-0.382563928763207,-0.158661544783838,-0.623688580998345,-0.409956204106056,-0.211934354597928,-0.625174701450721,-0.098967462243302,-0.112454140964051,-0.099078564923384,-0.747015223267146
"1566","hhage",5,100,0.144641921184319,0.278772953755095,0.0123323475738902,0.151134631260473,0.305997550453068,0.0139354636517867,0.335451220436164,0.333716145451109,0.284134673142865,0.0547106236462394
"1567","age04",5,100,-0.0314217053831143,-0.0696703537362555,0.0156196080428074,-0.0199068741260799,-0.0515265887752869,0.0186949418036976,-0.116974936326049,-0.102773756509962,-0.114269802708894,0.0222893072556799
"1568","depratio",5,100,0.0528795961736849,0.275780481836345,-0.175301014262313,0.0561630911446861,0.293431535413902,-0.179420590156562,0.354621616420205,0.36411181737218,0.304061748279101,-0.185369256917293
"1569","pcfloor",5,100,0.275680001798478,0.309370442096706,0.259812906811884,0.290663914495241,0.324454705174064,0.260380443772784,0.350544071593142,0.343498528193677,0.340339972468378,0.351637523015064
"1570","eschild",5,100,0.00870623367294595,-0.006324750053098,0.0181941127469218,0.00231320403827265,-0.0162737635706751,0.0207852983248544,-0.0968096992792651,-0.0889102077627774,-0.0620266351774449,0.109240297463317
"1571","jschild",5,100,-0.0106011894580001,-0.0965484303178894,0.0761020175584048,-0.0146718151406238,-0.103130994164885,0.0773273461163406,-0.145697583935673,-0.142227577124443,-0.117785879695532,0.0882707179346633
"1572","sschild",5,100,0.107987142088654,0.151206637004268,0.077260595703183,0.114332542784991,0.169634875874071,0.0796659227369902,0.160287201514954,0.16784837281231,0.162457174484839,0.0696521515656429
"1573","connected",5,100,0.0181313055820324,0.0390796484393724,0.00819437814403959,0,0,0,0.0205669265703827,0,0,0
"1574","hhmale",5,100,0.052093933095528,0.154106649871848,-0.051814976117824,0.0600678419521612,0.185257299506004,-0.0542364085796518,0.0224728094171873,0.0557961830705925,0.231185403897604,0.0795135516881372
"1575","hhmarried",5,100,0.223247752817653,0.552390202398412,-0.0590852970104439,0.247412689068466,0.580541160884301,-0.0607568147662859,0.752915027546983,0.743136298737041,0.652373386418147,-0.127005028219684
"1576","hheduc2",5,100,0.122957769782452,0.121973919856487,0.134132944390817,0.13407072960925,0.142113872063504,0.134285856111535,0.138254324874098,0.149828157973833,0.161626282281555,0.15223252061016
"1577","hheduc3",5,100,0.188456495024898,0.226836410755921,0.144910164018113,0.194842718740005,0.251074394740519,0.145055975172279,0.292097727217099,0.29048857821364,0.325897802283168,0.10441459808909
"1578","hheduc4",5,100,0.254582572260323,0.363104087724274,0.1690764383614,0.277772889030338,0.404617796159371,0.168550485600023,0.469388791128102,0.475078228315188,0.451367805679573,0.102248165972046
"1579","higheduc2",5,100,-0.0357904807117029,-0.0590127278175216,-0.0235801767018189,0.0132405059554649,0.0215653945844734,-0.00725885584417245,0.0189976310546886,0.0374227961067529,-0.155687158267345,-0.0124315155806371
